Mandant,Parkareal-ID,Parkfläche,Parkeinheit,B2B Partner ID (Spedition),B2B Partner (Spedition),Zutrittsmedium,Kundengruppe,Unnamed: 0,ParkingAreaID,ParkingName,Address,City,Unnamed: 5,Unnamed: 6,Unnamed: 7,merge_key,Name,Adress,City_koords,CountryCode,Longitude,Latitude,100 kW to 250 kW,24/7,Accomodation,App Parking,B2C Prohibited,Bosch partner network,CCS2,CCTV ,Certified,Charging card,Credit card,Dangerous Goods Allowed,De-Minimis,Decoupling of Trailers,Diesel,Electricity Charging,Electricity Supply for Frigo,Extra Long Truck Allowed,Fence,Flow Parking,Forward entry ,Forward exit ,Frigo allowed,Gate,Guard personal (24 hours) or Control Center,Has Realtime Data,Hydrogen,Internetlink,Less than 100 kW,Licence plate,Lighting,Liquefied Natural Gas,MCS,Mobile Ticket Payment,More than 250 kW,Occupancy information,On the go,Parking Fee,Personal access control,Petrol station,PIN,QR-Code,Reception parking,Reservable,Restaurant/ Shop,Restricted vehicle access,Restroom,Shower,Truck only,Truck repair,Truck wash,Vending Machines,Wifi,Detail Link,TariffGross,TariffNet,Silver,Gold,Provider,PreBooking URL,Raw Feature IDs
Transports Delcroix Orléans,1254,Transports Delcroix Orléans,Transports Delcroix Orléans,815.0,Schenker Logistics Nederland B.V.,WGM4486C,B2B,,1254.0,Transports Delcroix Orléans,ZI- Rte d’Orléans,ARTENAY,45410,FR,Bosch,zi- rte d’orléans artenay,Transports Delcroix Orléans,ZI- Rte d’Orléans,ARTENAY,FR,1.87855654,48.07431689,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4889&locale=en,"12 hours: 25,20 €    24 hours: 31,20 €    48 hours: 62,40 €    72 hours: 93,60 €","12 hours: 21,00 €    24 hours: 26,00 €    48 hours: 52,00 €    72 hours: 78,00 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1253,"1004, 1007, 1011, 1017, 1012, 1302, 1020, 1013, 1005, 1014, 1251, 1301"
Travis Extern FR,7754,DUC Nord - (Depot Parking),DUC Nord - (Depot Parking),10202.0,KRYSTIAN HENZEL ,WGM2033H,B2B,,7754.0,DUC Nord - (Depot Parking),652 Bd Ferdinand de Lesseps ,Hénin-Beaumont,62110,FR,Travis,652 bd ferdinand de lesseps hénin-beaumont,DUC Nord - (Depot Parking),652 Bd Ferdinand de Lesseps ,Hénin-Beaumont,FR,2.96136989,50.40377573,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5701&locale=en,12h: 25.00€    24h: 28.00€    48h: 52.00€    72h: 78.00€    ,12h: 25.00€    24h: 28.00€    48h: 52.00€    72h: 78.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=7753,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern IT,8102,Air Pullman SpA,Air Pullman SpA,10751.0,Circuit Europe BVBA,1VSG139,B2B,,,,,,,,, ,Testareal,,,,8.666247,49.1964278,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4707&locale=en,,,no,no,Bosch,,
TRR Tankreinigung GmbH,3328,TRR Tankreinigung GmbH,TRR Tankreinigung GmbH,1157.0,Vlantana,MOZ628,B2B,,3328.0,TRR Tankreinigung GmbH,Daimlerstraße 35,Rheine,48432,DE,Bosch,daimlerstraße 35 rheine,TRR Tankreinigung GmbH,Daimlerstraße 35,Rheine,DE,7.440788,52.316941,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5390&locale=en,12 hours: 18 €    24 hours: 30 €,12 hours: 18 €    24 hours: 30 €,yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3327,"1004, 1011, 1025, 1017, 1012, 1302, 1020, 1013, 1005, 1014, 1152, 1251, 1301"
Truck Parking Kimmel,1354,Truck Parking Kimmel,Truck Parking Kimmel,1402.0,Ronix-Trans Kft,SRD804,B2B,,1354.0,Truck Parking Kimmel,5 RUE DE LA LOGISTIQUE,THAL-DRULINGEN,67320,FR,Bosch,5 rue de la logistique thal-drulingen,Truck Parking Kimmel,5 RUE DE LA LOGISTIQUE,THAL-DRULINGEN,FR,7.12559673,48.91809792,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4896&locale=en,12 hours: {30.36|25.30} €    24 hours: {55.20|46.00} €    48 hours: {89.70|74.75} €    72 hours: {117.30|97.75} €,12 hours: {30.36|25.30} €    24 hours: {55.20|46.00} €    48 hours: {89.70|74.75} €    72 hours: {117.30|97.75} €,no,yes,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1353,"1004, 1007, 1011, 1025, 1017, 1019, 1012, 1009, 1302, 1020, 1013, 1005, 1002, 1014, 1016, 1251, 1301, 1003"
A2 Truck Parking A,1304,A2 Truck Parking A,A2 Truck Parking A,853.0,NV Schenker,WGM5631M,B2B,,1304.0,A2 Truck Parking A,Röntgenweg 14,Echt,6101 XD,NL,Bosch,röntgenweg 14 echt,A2 Truck Parking A,Röntgenweg 14,Echt,NL,5.88231279,51.11635728,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4997&locale=en,24h: 27.50€    48h: 45.00€    72h: 52.50€    ,24h: 27.50€    48h: 45.00€    72h: 52.50€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2607,"1007, 1101, 1017, 1019, 1012, 1006, 1014"
ACTING PARKING,1952,ACTING PARKING,ACTING PARKING,305.0,LOG-IN CZ s.r.o.,6E71118,B2B,,1952.0,ACTING PARKING,ul. Krakowska 73,Katowice,40-391,PL,Bosch,ul. krakowska 73 katowice,ACTING PARKING,ul. Krakowska 73,Katowice,PL,19.07968045,50.25810529,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4940&locale=en,"1 hour:  3,69 €    12 hours: 7,38 €    24 hours:  14,76 €    48 hours: 29,53  €","1 hour:  3,00 €    12 hours: 6,00 €    24 hours:  12,00 €    48 hours: 24,00  €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1951,"1004, 1007, 1011, 1101, 1017, 1012, 1008, 1302, 1020, 1013, 1005, 1014, 1016, 1251"
Alfred Schuon Parking,852,Alfred Schuon Parking,Alfred Schuon Parking,,,SC8184V,B2B,,852.0,Alfred Schuon Parking,Bühlwiesenweg 15,Haiterbach,72221,DE,Bosch,bühlwiesenweg 15 haiterbach,Alfred Schuon Parking,Bühlwiesenweg 15,Haiterbach,DE,8.63194311,48.50448578,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4805&locale=en,"12 hours: 7,00 €    24 hours: 14,00 €    \r\n48 hours: 25,00 €    per additional hour: 7,00 €","12 hours: 5,88 €    24 hours: 11,76 €    \r\n48 hours: 21,01 €    per additional hour: 5,88 €",no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=851,"1004, 1007, 1017, 1302, 1020, 1005, 1014, 1251, 1301"
Area 47,1106,Area 47,Area 47,1451.0,SC INOVATIV LOGISTIC SRL,BN54LAV,B2B,,1106.0,Area 47 ,Carretera a-4 (km 47.300),Aranjuez,28300,ES,Bosch,carretera a-4 (km 47.300) aranjuez,Area 47 ,Carretera a-4 (km 47.300),Aranjuez,ES,-3.6453457,40.0204373,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4866&locale=en,12 hours: 15 €    24 hours: 25 €    \r\n48 hours: 50 €    per additional hour: 5 €,12 hours: 15 €    24 hours: 25 €    \r\n48 hours: 50 €    per additional hour: 5 €,yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1105,"1004, 1011, 1101, 1017, 1019, 1012, 1009, 1008, 1302, 1020, 1013, 1005, 1002, 1014, 1016, 1251, 1301"
Binnenhafen Sachsen,610,Binnenhafen Sachsen,Binnenhafen Sachsen,,,KK53248,B2B,,610.0,Binnenhafen Sachsen,Magdeburgerstr. 58,Dresden,01067,DE,Bosch,magdeburgerstr. 58 dresden,Binnenhafen Sachsen,Magdeburgerstr. 58,Dresden,DE,13.71419639,51.06409255,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4948&locale=en,12h: 10.00€    24h: 15.00€    48h: 25.00€    ,12h: 10.00€    24h: 15.00€    48h: 25.00€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2663,"1101, 1019, 1012, 1006, 1005, 1014, 1003"
Bio- und Gesundheitszentrum Vachdorf GmbH,804,Bio- und Gesundheitszentrum Vachdorf GmbH,Bio- und Gesundheitszentrum Vachdorf GmbH,,,PZ2A731,B2B,,804.0,Bio- und Gesundheitszentrum Vachdorf GmbH,Riethweg 239,Vachdorf,98617,DE,Bosch,riethweg 239 vachdorf,Bio- und Gesundheitszentrum Vachdorf GmbH,Riethweg 239,Vachdorf,DE,10.53071237,50.52518419,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4802&locale=en,"12 hours: 6,00 €    24 hours: 12,00 €    48 hours: 24,00 €","12 hours: 5,04 €    24 hours: 10,08 €    48 hours: 20,17 €",no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=803,"1011, 1302, 1020, 1014, 1251, 1301"
BOSCH Karlsruhe,2,Bosch Karlsruhe,Bosch Parkareal Karlsruhe,3326.0,TSH GmbH,ACHH1090,B2B,,2.0,Bosch Karlsruhe,Am Heegwald 13,Karlsruhe,76227,DE,Bosch,am heegwald 13 karlsruhe,Bosch Karlsruhe,Am Heegwald 13,Karlsruhe,DE,8.47754666,49.01601834,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5220&locale=en,12h: 15.00€    24h: 30.00€    ,12h: 15.00€    24h: 30.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2659,"1101, 1017, 1019, 1012, 1014, 1003"
Boudier Parking,1113,Boudier Parking,Boudier Parking,1377.0,SC FILIP SRL,AR16POC,B2B,,1113.0,Boudier Parking,Lichtenkopfer Weg ,Bexbach,66450,DE,Bosch,lichtenkopfer weg bexbach,Boudier Parking,Lichtenkopfer Weg ,Bexbach,DE,7.23538393,49.36217457,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4869&locale=en,"24 hours: 29,75 €","24 hours: 25,00 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1112,"1004, 1011, 1017, 1019, 1012, 1302, 1020, 1013, 1005, 1014, 1016, 1152, 1251, 1301"
BSH Hausgeräte GmbH Giengen,1160,BSH Hausgeräte GmbH Giengen,BSH Hausgeräte GmbH Giengen,,,B221MNO,B2B,,1160.0,BSH Hausgeräte GmbH Giengen,Bahnhofstraße 70,Giengen,89537,DE,Bosch,bahnhofstraße 70 giengen,BSH Hausgeräte GmbH Giengen,Bahnhofstraße 70,Giengen,DE,10.23026,48.62238,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4874&locale=en,"12 hours: 8,57 €     24 hours: 14,28 €    48 hours: 25,70 €","12 hours: 7,20 €     24 hours: 12,00 €    48 hours: 21,60 €",no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1159,"1004, 1011, 1022, 1017, 1302, 1020, 1013, 1005, 1014, 1251, 1301"
Cruise Gate Steinwerder,402,Cruise Center Steinwerder,Cruise Center Steinwerder,1928.0,"UAB ""KLP transport"" ",NIK460,B2B,,402.0,Cruise Center Steinwerder,Buchheisterstraße 16,Hamburg,20457,DE,Bosch,buchheisterstraße 16 hamburg,Cruise Center Steinwerder,Buchheisterstraße 16,Hamburg,DE,9.96484469,53.5272351,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5156&locale=en,24h: 12.61€    ,24h: 12.61€    ,no,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2067,"1101, 1012, 1014"
Dorna SRL,3364,Dorna Parking,Dorna SRL,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA26348,B2B,,3364.0,Dorna Parking,Via Sommacampagna 63 L,Verona,37139,IT,Bosch,via sommacampagna 63 l verona,Dorna Parking,Via Sommacampagna 63 L,Verona,IT,10.93154771,45.41417019,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5479&locale=en,"Mon – Fri: 40,25€ / 12h     55,20€ /24h    Weekend: 112,70€","Mon – Fri: 40,25€ / 12h     55,20€ /24h    Weekend: 112,70€",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3363,"1004, 1011, 1017, 1012, 1008, 1302, 1020, 1013, 1005, 1014, 1152, 1251, 1301, 1003"
Eurocam Vitoria,1172,Eurocam Vitoria,Eurocam Vitoria,1898.0,Truck Force One Kft ,AADU413,B2B,,1172.0,Eurocam Vitoria,"Pol. Ind. Subilllabide, Parcela 40",Nanclares de Oca,01230,ES,Bosch,"pol. ind. subilllabide, parcela 40 nanclares de oca",Eurocam Vitoria,"Pol. Ind. Subilllabide, Parcela 40",Nanclares de Oca,ES,-2.77201143,42.82404404,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4880&locale=en,12 hours:13.25 €    24 hours: 26.50€    \r\n48 hours: 53 €    72 hours: 79.50 €    per additional hour: 5.30 €,12 hours:13.25 €    24 hours: 26.50€    \r\n48 hours: 53 €    72 hours: 79.50 €    per additional hour: 5.30 €,yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1171,"1004, 1011, 1101, 1017, 1019, 1012, 1009, 1008, 1302, 1020, 1005, 1002, 1014, 1016, 1251, 1301"
Fehrenkoetter Parking,704,Fehrenkoetter Parking,Fehrenkoetter Parking,2888.0,Bustrans sp. z o.o. ,FG8032P,B2B,,704.0,Fehrenkoetter Parking,Heinrich-Büssing-Straße 6,Ladbergen,49549,DE,Bosch,heinrich-büssing-straße 6 ladbergen,Fehrenkoetter Parking,Heinrich-Büssing-Straße 6,Ladbergen,DE,7.71722,52.15253,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4714&locale=en,"12 hours: 6,00 €    24 hours: 12,00 €    48 hours: 24,00 €    from 48 hours: 1,43 €/h","12 hours: 5,04 €    24 hours: 10,08 €    48 hours: 20,16 €    from 48 hours: 1,20 €/h",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=703,"1004, 1011, 1017, 1012, 1009, 1302, 1020, 1005, 1002, 1014, 1251, 1301"
Foltrans Serwis,1654,Foltrans Serwis,Foltrans Serwis,1375.0,Supernova Intertrans Kft,AAAW275,B2B,,1654.0,Foltrans Serwis,Kozielska 30,Sośnicowice,44-153,PL,Bosch,kozielska 30 sośnicowice,Foltrans Serwis,Kozielska 30,Sośnicowice,PL,18.51835652,50.27700458,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4916&locale=en,12 hours: 3€    24 hours: 5.20 €    48 hours: 10 €,12 hours: 3€    24 hours: 5.20 €    48 hours: 10 €,no,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1653,"1004, 1007, 1011, 1101, 1017, 1019, 1009, 1008, 1302, 1020, 1005, 1014, 1251, 1301"
FordonsTeknik i Väst AB,1175,FordonsTeknik i Väst AB,FordonsTeknik i Väst AB,1920.0, VTS TRANSPORT B.V. ,61BLS6,B2B,,1175.0,FordonsTeknik i Väst AB,Handelsvägen 13,Halmstad,302 30,SE,Bosch,handelsvägen 13 halmstad,FordonsTeknik i Väst AB,Handelsvägen 13,Halmstad,SE,12.86989827,56.71530385,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4881&locale=en,"24 hours: 68,75 €","24 hours: 55,00 €",yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=1174,"1004, 1011, 1017, 1012, 1009, 1008, 1302, 1020, 1013, 1014, 1016, 1251, 1301"
Gebrüder Weiss,7,Sicherheitsparkplatz Maria Lanzendorf,Gebrüder Weiss - Maria Lanzendorf,1304.0,Lorenc Logistic Polska Sp. z o.o.,PZ6T138,B2B,,7.0,Gebrüder Weiss - Maria Lanzendorf,Wiener Straße 26,Maria Lanzendorf,2326,AT,Bosch,wiener straße 26 maria lanzendorf,Gebrüder Weiss - Maria Lanzendorf,Wiener Straße 26,Maria Lanzendorf,AT,16.418489,48.104254,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=1006&locale=en,12 hours: 35 €     24 hours: 50 €    72 hours: 75€    per additonal hour: 3 €,12 hours: 35 €     24 hours: 50 €    72 hours: 75€    per additonal hour: 3 €,yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=5 ,"1004, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1013, 1005, 1014, 1051, 1016, 1003"
Gebrüder Weiss Slovakia,102,Gebrüder Weiss Slovakia,Gebrüder Weiss Slovakia,1939.0,Rolling Cars 95 Kft ,SJG496,B2B,,102.0,Gebrüder Weiss Slovakia,Dialnicna Cesta 20,Senec,90301,SK,Bosch,dialnicna cesta 20 senec,Gebrüder Weiss Slovakia,Dialnicna Cesta 20,Senec,SK,17.35123534,48.25217917,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4551&locale=en,24 hours: 40 €    48 hours: 60 €    72 hours: 70 €,24 hours: 40 €    48 hours: 60 €    72 hours: 70 €,yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=101,"1004, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1013, 1005, 1014, 1051, 1016, 1251, 1301"
Gebrüder Weiss Wels,254,Gebrüder Weiss Wels,Gebrüder Weiss Wels,,,WGM3116F,B2B,,254.0,Gebrüder Weiss - Wels,Terminalstraße 91,Wels,4600,AT,Bosch,terminalstraße 91 wels,Gebrüder Weiss - Wels,Terminalstraße 91,Wels,AT,14.067398,48.189992,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4557&locale=en,12 hours: 35 €     24 hours: 50 €    72 hours: 75€    per additonal hour: 3 €,12 hours: 35 €     24 hours: 50 €    72 hours: 75€    per additonal hour: 3 €,yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=253,"1004, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1013, 1005, 1014, 1051, 1016, 1251, 1003"
Gladysz,1502,Gladysz,Gladysz,816.0,Smidl s.r.o.,7E49034,B2B,,1502.0,Gladysz,Główna 35,Wola Rakowa,95-006,PL,Bosch,główna 35 wola rakowa,GŁADYSZ,Główna 35,Wola Rakowa,PL,19.60542776,51.67530171,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5226&locale=en,24h: 17.00€    ,24h: 17.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2463,"1007, 1101, 1017, 1019, 1012, 1014"
Graglia SRL,3510,Graglia SRL,Graglia SRL,3888.0,PH-U Eltrans Janusz Leszek Kmoch,WS4557G,B2B,,3510.0,Graglia SRL,Via Pietro Nenni 38,Settimo Torinese,10036,IT,Bosch,via pietro nenni 38 settimo torinese,Graglia SRL,Via Pietro Nenni 38,Settimo Torinese,IT,7.75331331,45.1532582,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5524&locale=en,"12 hours: 15,86 €    24 hours: 26,84 €    ",12 hours: 13 €    24 hours: 22 €    ,no,yes,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3509,"1004, 1007, 1011, 1025, 1022, 1017, 1019, 1012, 1008, 1302, 1020, 1006, 1013, 1005, 1014, 1016, 1251, 1301, 1003"
Gress und Zapp Parking,904,Gress und Zapp GmbH,Gress und Zapp Parking,3021.0,Dachser SE ,BCY3050,B2B,,904.0,Gress und Zapp Parking,Am Eichengarten 12,Dessau-Rosslau,06842,DE,Bosch,am eichengarten 12 dessau-rosslau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans K Schmitt GmbH & Co. KG,3308,Schmitt Peterslahr Oberhonnefeld,Schmitt Peterslahr Oberhonnefeld,,,SKL40776,B2B,,3308.0,Schmitt Peterslahr Oberhonnefeld,Erlenstraße 1-9,Oberhonnefeld,56587,DE,Bosch,erlenstraße 1-9 oberhonnefeld,Schmitt Peterslahr Oberhonnefeld,Erlenstraße 1-9,Oberhonnefeld,DE,7.52275883,50.55389623,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5388&locale=en,"24 hours: 17,85 €",24 hours: 15 €,yes,no,Bosch,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3307,"1015, 1004, 1011, 1017, 1012, 1009, 1008, 1302, 1020, 1010, 1013, 1005, 1002, 1014, 1016, 1152, 1251, 1301"
